Date : 2024-09-28 11:54:11
Directory : c:\Users\alber\Documents\Programmieren\Capella\Capella
Total : 413 files,  28867 codes, 725 comments, 3156 blanks, all 32748 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        263 |     13,737 |        703 |      2,739 |     17,179 |
| JSON               |          5 |     12,763 |          2 |          4 |     12,769 |
| CSS                |         29 |        882 |         10 |        193 |      1,085 |
| HTML               |         52 |        581 |          0 |         40 |        621 |
| SCSS               |         26 |        457 |          9 |         80 |        546 |
| XML                |         35 |        400 |          0 |         85 |        485 |
| JSON with Comments |          1 |         32 |          1 |          1 |         34 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
| JavaScript         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                    |        413 |     28,867 |        725 |      3,156 |     32,748 |
| . (Files)                                                                                                                                                                            |          7 |     12,809 |          3 |         19 |     12,831 |
| src                                                                                                                                                                                  |        406 |     16,058 |        722 |      3,137 |     19,917 |
| src (Files)                                                                                                                                                                          |          3 |         36 |          1 |          8 |         45 |
| src\app                                                                                                                                                                              |        367 |     15,621 |        721 |      3,044 |     19,386 |
| src\app (Files)                                                                                                                                                                      |          6 |        147 |          0 |         15 |        162 |
| src\app\global                                                                                                                                                                       |        123 |      3,326 |        170 |        713 |      4,209 |
| src\app\global\canvas                                                                                                                                                                |          2 |         71 |         12 |         15 |         98 |
| src\app\global\classes                                                                                                                                                               |         17 |        973 |        116 |        216 |      1,305 |
| src\app\global\classes (Files)                                                                                                                                                       |          1 |        255 |         26 |         42 |        323 |
| src\app\global\classes\abstract                                                                                                                                                      |          4 |         40 |          4 |         18 |         62 |
| src\app\global\classes\modes                                                                                                                                                         |          1 |         11 |          0 |          8 |         19 |
| src\app\global\classes\renderingContext                                                                                                                                              |          3 |        574 |         86 |        131 |        791 |
| src\app\global\classes\ribbon                                                                                                                                                        |          8 |         93 |          0 |         17 |        110 |
| src\app\global\dialog                                                                                                                                                                |         11 |        227 |          8 |         63 |        298 |
| src\app\global\dialog (Files)                                                                                                                                                        |          3 |         49 |          4 |         22 |         75 |
| src\app\global\dialog\confirmation-dialog                                                                                                                                            |          4 |         75 |          0 |         17 |         92 |
| src\app\global\dialog\dialog                                                                                                                                                         |          4 |        103 |          4 |         24 |        131 |
| src\app\global\essentials                                                                                                                                                            |          7 |        498 |         11 |         96 |        605 |
| src\app\global\interfaces                                                                                                                                                            |         16 |        337 |          1 |         55 |        393 |
| src\app\global\interfaces (Files)                                                                                                                                                    |          7 |        105 |          0 |         13 |        118 |
| src\app\global\interfaces\canvasStyles                                                                                                                                               |          9 |        232 |          1 |         42 |        275 |
| src\app\global\ribbon                                                                                                                                                                |         33 |        501 |         15 |        110 |        626 |
| src\app\global\ribbon (Files)                                                                                                                                                        |          4 |         99 |         15 |         24 |        138 |
| src\app\global\ribbon\ribbon-tab                                                                                                                                                     |         29 |        402 |          0 |         86 |        488 |
| src\app\global\ribbon\ribbon-tab (Files)                                                                                                                                             |          5 |         97 |          0 |         21 |        118 |
| src\app\global\ribbon\ribbon-tab\button                                                                                                                                              |          4 |         35 |          0 |          9 |         44 |
| src\app\global\ribbon\ribbon-tab\content-viewer                                                                                                                                      |          4 |         98 |          0 |         16 |        114 |
| src\app\global\ribbon\ribbon-tab\divider                                                                                                                                             |          4 |         38 |          0 |          9 |         47 |
| src\app\global\ribbon\ribbon-tab\pointer-mode-toggle                                                                                                                                 |          4 |         65 |          0 |         13 |         78 |
| src\app\global\ribbon\ribbon-tab\ribbon-text                                                                                                                                         |          4 |         34 |          0 |          9 |         43 |
| src\app\global\ribbon\ribbon-tab\toggle                                                                                                                                              |          4 |         35 |          0 |          9 |         44 |
| src\app\global\snackbar                                                                                                                                                              |          6 |        121 |          0 |         33 |        154 |
| src\app\global\snackbar (Files)                                                                                                                                                      |          2 |         46 |          0 |         15 |         61 |
| src\app\global\snackbar\snackbar                                                                                                                                                     |          4 |         75 |          0 |         18 |         93 |
| src\app\global\style-components                                                                                                                                                      |         28 |        420 |          4 |        103 |        527 |
| src\app\global\style-components\color-picker                                                                                                                                         |          4 |         83 |          0 |         16 |         99 |
| src\app\global\style-components\color-style                                                                                                                                          |          4 |        107 |          4 |         22 |        133 |
| src\app\global\style-components\fill-style                                                                                                                                           |          4 |         29 |          0 |         11 |         40 |
| src\app\global\style-components\object-style                                                                                                                                         |          4 |         29 |          0 |         11 |         40 |
| src\app\global\style-components\pen-picker                                                                                                                                           |          4 |        114 |          0 |         21 |        135 |
| src\app\global\style-components\stroke-style                                                                                                                                         |          4 |         29 |          0 |         11 |         40 |
| src\app\global\style-components\text-style                                                                                                                                           |          4 |         29 |          0 |         11 |         40 |
| src\app\global\styles                                                                                                                                                                |          3 |        178 |          3 |         22 |        203 |
| src\app\prokyon                                                                                                                                                                      |        208 |      9,960 |        345 |      1,898 |     12,203 |
| src\app\prokyon (Files)                                                                                                                                                              |          4 |         91 |          0 |         16 |        107 |
| src\app\prokyon\canvas                                                                                                                                                               |          4 |         47 |          0 |         11 |         58 |
| src\app\prokyon\context-menu                                                                                                                                                         |          6 |        269 |         24 |         55 |        348 |
| src\app\prokyon\context-menu (Files)                                                                                                                                                 |          2 |        114 |         19 |         25 |        158 |
| src\app\prokyon\context-menu\context-menu                                                                                                                                            |          4 |        155 |          5 |         30 |        190 |
| src\app\prokyon\formula-dialogs                                                                                                                                                      |         28 |        948 |          5 |        219 |      1,172 |
| src\app\prokyon\formula-dialogs\view-abstract-line-element                                                                                                                           |          4 |        149 |          1 |         35 |        185 |
| src\app\prokyon\formula-dialogs\view-angle-element                                                                                                                                   |          4 |        145 |          1 |         33 |        179 |
| src\app\prokyon\formula-dialogs\view-circle-element                                                                                                                                  |          4 |        160 |          0 |         36 |        196 |
| src\app\prokyon\formula-dialogs\view-curve-element                                                                                                                                   |          4 |        136 |          1 |         32 |        169 |
| src\app\prokyon\formula-dialogs\view-dependency-point-elements-dialog                                                                                                                |          4 |         98 |          0 |         23 |        121 |
| src\app\prokyon\formula-dialogs\view-point-element                                                                                                                                   |          4 |        122 |          1 |         28 |        151 |
| src\app\prokyon\formula-dialogs\view-shape-element                                                                                                                                   |          4 |        138 |          1 |         32 |        171 |
| src\app\prokyon\formula-tab                                                                                                                                                          |         48 |      1,142 |          3 |        238 |      1,383 |
| src\app\prokyon\formula-tab (Files)                                                                                                                                                  |          4 |        138 |          0 |         22 |        160 |
| src\app\prokyon\formula-tab\compiled-point-formula                                                                                                                                   |          4 |         79 |          1 |         20 |        100 |
| src\app\prokyon\formula-tab\curve-formula                                                                                                                                            |          4 |        157 |          1 |         29 |        187 |
| src\app\prokyon\formula-tab\definite-integral-formula                                                                                                                                |          4 |         69 |          0 |         18 |         87 |
| src\app\prokyon\formula-tab\dependency-point-elements-formula                                                                                                                        |          4 |         69 |          0 |         17 |         86 |
| src\app\prokyon\formula-tab\formula-element                                                                                                                                          |          4 |        119 |          0 |         22 |        141 |
| src\app\prokyon\formula-tab\geometric-formula                                                                                                                                        |          4 |         81 |          0 |         18 |         99 |
| src\app\prokyon\formula-tab\global                                                                                                                                                   |          8 |        137 |          0 |         35 |        172 |
| src\app\prokyon\formula-tab\global\color-circle                                                                                                                                      |          4 |         72 |          0 |         19 |         91 |
| src\app\prokyon\formula-tab\global\interval                                                                                                                                          |          4 |         65 |          0 |         16 |         81 |
| src\app\prokyon\formula-tab\graph-formula                                                                                                                                            |          4 |        136 |          0 |         20 |        156 |
| src\app\prokyon\formula-tab\point-formula                                                                                                                                            |          4 |         73 |          1 |         17 |         91 |
| src\app\prokyon\formula-tab\variable-formula                                                                                                                                         |          4 |         84 |          0 |         20 |        104 |
| src\app\prokyon\func-analyser-dialog                                                                                                                                                 |          4 |        122 |          3 |         21 |        146 |
| src\app\prokyon\geometry-tab                                                                                                                                                         |          4 |        208 |          1 |         28 |        237 |
| src\app\prokyon\global                                                                                                                                                               |         86 |      5,722 |        233 |      1,020 |      6,975 |
| src\app\prokyon\global\classes                                                                                                                                                       |         81 |      5,261 |        218 |        940 |      6,419 |
| src\app\prokyon\global\classes (Files)                                                                                                                                               |          2 |        158 |         13 |         10 |        181 |
| src\app\prokyon\global\classes\abstract                                                                                                                                              |          3 |        114 |          3 |         22 |        139 |
| src\app\prokyon\global\classes\canvas-elements                                                                                                                                       |         15 |      3,145 |         92 |        500 |      3,737 |
| src\app\prokyon\global\classes\func                                                                                                                                                  |         38 |      1,385 |         98 |        313 |      1,796 |
| src\app\prokyon\global\classes\func (Files)                                                                                                                                          |          4 |        290 |         21 |         50 |        361 |
| src\app\prokyon\global\classes\func\operations                                                                                                                                       |         34 |      1,095 |         77 |        263 |      1,435 |
| src\app\prokyon\global\classes\func\operations (Files)                                                                                                                               |          4 |        362 |         50 |         67 |        479 |
| src\app\prokyon\global\classes\func\operations\constants                                                                                                                             |          3 |         44 |          0 |         11 |         55 |
| src\app\prokyon\global\classes\func\operations\elementary-operations                                                                                                                 |          7 |        370 |         27 |         73 |        470 |
| src\app\prokyon\global\classes\func\operations\other-operations                                                                                                                      |          6 |        121 |          0 |         41 |        162 |
| src\app\prokyon\global\classes\func\operations\trigonometry                                                                                                                          |         14 |        198 |          0 |         71 |        269 |
| src\app\prokyon\global\classes\modes                                                                                                                                                 |         23 |        459 |         12 |         95 |        566 |
| src\app\prokyon\global\essentials                                                                                                                                                    |          5 |        461 |         15 |         80 |        556 |
| src\app\prokyon\hover-menu                                                                                                                                                           |          6 |        147 |         10 |         37 |        194 |
| src\app\prokyon\hover-menu (Files)                                                                                                                                                   |          2 |         71 |         10 |         19 |        100 |
| src\app\prokyon\hover-menu\hover-menu                                                                                                                                                |          4 |         76 |          0 |         18 |         94 |
| src\app\prokyon\intersection-dialog                                                                                                                                                  |          4 |        121 |          4 |         25 |        150 |
| src\app\prokyon\screenshot-dialog                                                                                                                                                    |          4 |        223 |          2 |         48 |        273 |
| src\app\prokyon\services                                                                                                                                                             |          2 |        596 |         59 |        123 |        778 |
| src\app\prokyon\settings-tab                                                                                                                                                         |          4 |        137 |          0 |         24 |        161 |
| src\app\prokyon\tab-group                                                                                                                                                            |          4 |        187 |          1 |         33 |        221 |
| src\app\whiteboard                                                                                                                                                                   |         30 |      2,188 |        206 |        418 |      2,812 |
| src\app\whiteboard\canvas                                                                                                                                                            |          4 |         39 |          0 |         10 |         49 |
| src\app\whiteboard\global                                                                                                                                                            |         14 |      1,252 |        103 |        243 |      1,598 |
| src\app\whiteboard\global\classes                                                                                                                                                    |         13 |      1,120 |        103 |        230 |      1,453 |
| src\app\whiteboard\global\classes (Files)                                                                                                                                            |          2 |        783 |         94 |        148 |      1,025 |
| src\app\whiteboard\global\classes\abstract                                                                                                                                           |          1 |         77 |          1 |         14 |         92 |
| src\app\whiteboard\global\classes\canvas-elements                                                                                                                                    |          1 |         35 |          0 |         10 |         45 |
| src\app\whiteboard\global\classes\modes                                                                                                                                              |          9 |        225 |          8 |         58 |        291 |
| src\app\whiteboard\global\interfaces                                                                                                                                                 |          1 |        132 |          0 |         13 |        145 |
| src\app\whiteboard\quick-actions                                                                                                                                                     |          4 |         91 |          2 |         18 |        111 |
| src\app\whiteboard\services                                                                                                                                                          |          4 |        533 |         95 |        130 |        758 |
| src\app\whiteboard\whiteboard                                                                                                                                                        |          4 |        273 |          6 |         17 |        296 |
| src\assets                                                                                                                                                                           |         36 |        401 |          0 |         85 |        486 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                             | language           | code       | comment    | blank      | total      |
